TÃ©rmino,Hack,Longitud,Popularidad
mattresses,mattress.es,10,1
megabytes,megabyt.es,9,1
merges,merg.es,6,1
microbes,microb.es,8,1
mistresses,mistress.es,10,1
morphemes,morphem.es,9,1
mummies,mummi.es,7,1
natures,natur.es,7,1
nicknames,nicknam.es,9,1
ambulances,ambulanc.es,10,1
overcomes,overcom.es,9,1
pastries,pastri.es,8,1
penetrates,penetrat.es,10,1
pharisees,pharise.es,9,1
pineapples,pineappl.es,10,1
polypeptides,polypeptid.es,12,1
porpoises,porpois.es,9,1
potencies,potenci.es,9,1
prefixes,prefix.es,8,1
prerequisites,prerequisit.es,13,1
prototypes,prototyp.es,10,1
pursues,pursu.es,7,1
raffles,raffl.es,7,1
rarities,rariti.es,8,1
raves,rav.es,5,1
reassurances,reassuranc.es,12,1
recoveries,recoveri.es,10,1
regularities,regulariti.es,12,1
resemblances,resemblanc.es,12,1
resolves,resolv.es,8,1
robberies,robberi.es,9,1
rotates,rotat.es,7,1
rowdies,rowdi.es,7,1
scones,scon.es,6,1
amphetamines,amphetamin.es,12,1
seizures,seizur.es,8,1
shackles,shackl.es,8,1
shingles,shingl.es,8,1
sixes,six.es,5,1
smarties,smarti.es,8,1
squabbles,squabbl.es,9,1
staves,stav.es,6,1
amplitudes,amplitud.es,10,1
syndicates,syndicat.es,10,1
tenancies,tenanci.es,9,1
thebes,theb.es,6,1
thymocytes,thymocyt.es,10,1
tithes,tith.es,6,1
tomes,tom.es,5,1
transpires,transpir.es,10,1
trestles,trestl.es,8,1
trilobites,trilobit.es,10,1
turbines,turbin.es,8,1
universes,univers.es,9,1
variances,varianc.es,9,1
analogues,analogu.es,9,1
weaves,weav.es,6,1
wipes,wip.es,5,1
anemones,anemon.es,8,1
anniversaries,anniversari.es,13,1
annuities,annuiti.es,9,1
anticipates,anticipat.es,11,1
antiquaries,antiquari.es,11,1
contemplates,contemplat.es,12,1
cooperatives,cooperativ.es,12,1
apothecaries,apothecari.es,12,1
crevices,crevic.es,8,1
crutches,crutch.es,8,1
curiosities,curiositi.es,11,1
appendages,appendag.es,10,1
dairies,dairi.es,7,1
appendices,appendic.es,10,1
dependencies,dependenci.es,12,1
destinies,destini.es,9,1
devotees,devote.es,8,1
appointees,appointe.es,10,1
appreciates,appreciat.es,11,1
appropriates,appropriat.es,12,1
approves,approv.es,8,1
approximates,approximat.es,12,1
dormitories,dormitori.es,11,1
dungarees,dungare.es,9,1
earphones,earphon.es,9,1
aptitudes,aptitud.es,9,1
electrolytes,electrolyt.es,12,1
encloses,enclos.es,8,1
ensues,ensu.es,6,1
enthalpies,enthalpi.es,10,1
eventualities,eventualiti.es,13,1
evolves,evolv.es,7,1
expanses,expans.es,8,1
externalities,externaliti.es,13,1
arcades,arcad.es,7,1
fates,fat.es,5,1
finches,finch.es,7,1
fireplaces,fireplac.es,10,1
flutes,flut.es,6,1
follies,folli.es,7,1
foresees,forese.es,8,1
foursomes,foursom.es,9,1
fragrances,fragranc.es,10,1
freckles,freckl.es,8,1
functionaries,functionari.es,13,1
gazes,gaz.es,5,1
graces,grac.es,6,1
grammes,gramm.es,7,1
greaves,greav.es,7,1
hackles,hackl.es,7,1
hatches,hatch.es,7,1
haunches,haunch.es,8,1
heavies,heavi.es,7,1
hemispheres,hemispher.es,11,1
idiosyncrasies,idiosyncrasi.es,14,1
illuminates,illuminat.es,11,1
arles,arl.es,5,1
inefficiencies,inefficienci.es,14,1
instabilities,instabiliti.es,13,1
integrates,integrat.es,10,1
arouses,arous.es,7,1
intervenes,interven.es,10,1
intestines,intestin.es,10,1
arranges,arrang.es,8,1
irises,iris.es,6,1
irritates,irritat.es,9,1
isotopes,isotop.es,8,1
kettles,kettl.es,7,1
lasses,lass.es,6,1
leakages,leakag.es,8,1
lees,le.es,4,1
lighthouses,lighthous.es,11,1
limousines,limousin.es,10,1
lobbies,lobbi.es,7,1
artichokes,artichok.es,10,1
mandibles,mandibl.es,9,1
articulates,articulat.es,11,1
massacres,massacr.es,9,1
matures,matur.es,7,1
artistes,artist.es,8,1
methodologies,methodologi.es,13,1
midges,midg.es,6,1
miniatures,miniatur.es,10,1
misfortunes,misfortun.es,11,1
mites,mit.es,5,1
modalities,modaliti.es,10,1
mortgagees,mortgage.es,10,1
mosses,moss.es,6,1
motorbikes,motorbik.es,10,1
municipalities,municipaliti.es,14,1
asides,asid.es,6,1
navies,navi.es,6,1
nieces,niec.es,6,1
nuances,nuanc.es,7,1
nuisances,nuisanc.es,9,1
obliges,oblig.es,7,1
octaves,octav.es,7,1
aspires,aspir.es,7,1
organises,organis.es,9,1
asses,ass.es,5,1
assesses,assess.es,8,1
pancakes,pancak.es,8,1
panties,panti.es,7,1
peaches,peach.es,7,1
perfumes,perfum.es,8,1
assizes,assiz.es,7,1
pheromones,pheromon.es,10,1
photocopies,photocopi.es,11,1
pipelines,pipelin.es,9,1
assures,assur.es,7,1
platitudes,platitud.es,10,1
pluses,plus.es,6,1
porches,porch.es,7,1
potentialities,potentialiti.es,14,1
pouches,pouch.es,7,1
practises,practis.es,9,1
precludes,preclud.es,9,1
prerogatives,prerogativ.es,12,1
preserves,preserv.es,9,1
prides,prid.es,6,1
primitives,primitiv.es,10,1
princesses,princess.es,10,1
provokes,provok.es,8,1
rages,rag.es,5,1
atmospheres,atmospher.es,11,1
raspberries,raspberri.es,11,1
ravines,ravin.es,7,1
rectangles,rectangl.es,10,1
regulates,regulat.es,9,1
reproduces,reproduc.es,10,1
residences,residenc.es,10,1
resonances,resonanc.es,10,1
romances,romanc.es,8,1
rupees,rupe.es,6,1
aubergines,aubergin.es,10,1
scribes,scrib.es,7,1
sensitivities,sensitiviti.es,13,1
shires,shir.es,6,1
silhouettes,silhouett.es,11,1
skates,skat.es,6,1
sledges,sledg.es,7,1
sores,sor.es,5,1
spitfires,spitfir.es,9,1
spokes,spok.es,6,1
stances,stanc.es,7,1
authorises,authoris.es,10,1
autobiographies,autobiographi.es,15,1
substrates,substrat.es,10,1
sues,su.es,4,1
suicides,suicid.es,8,1
summonses,summons.es,9,1
supposes,suppos.es,8,1
surges,surg.es,6,1
swales,swal.es,6,1
syndromes,syndrom.es,9,1
tangles,tangl.es,7,1
tenures,tenur.es,7,1
automobiles,automobil.es,11,1
thistles,thistl.es,8,1
throes,thro.es,6,1
tolerances,toleranc.es,10,1
treatises,treatis.es,9,1
auxiliaries,auxiliari.es,11,1
trombones,trombon.es,9,1
truffles,truffl.es,8,1
typefaces,typefac.es,9,1
vibes,vib.es,5,1
violates,violat.es,8,1
wallabies,wallabi.es,9,1
wedges,wedg.es,6,1
whistles,whistl.es,8,1
whores,whor.es,6,1
woes,wo.es,4,1
workhouses,workhous.es,10,1
axles,axl.es,5,1
babes,bab.es,5,1
baddies,baddi.es,7,1
bagpipes,bagpip.es,8,1
bangles,bangl.es,7,1
banknotes,banknot.es,9,1
bankruptcies,bankruptci.es,12,1
barbecues,barbecu.es,9,1
barnacles,barnacl.es,9,1
bases,bas.es,5,1
basques,basqu.es,7,1
basses,bass.es,6,1
beeches,beech.es,7,1
belies,beli.es,6,1
bellies,belli.es,7,1
benefices,benefic.es,9,1
beverages,beverag.es,9,1
bibles,bibl.es,6,1
bibliographies,bibliographi.es,14,1
conservatories,conservatori.es,14,1
bitches,bitch.es,7,1
consultancies,consultanci.es,13,1
consumes,consum.es,8,1
bivalves,bivalv.es,8,1
conveniences,convenienc.es,12,1
convinces,convinc.es,9,1
copes,cop.es,5,1
blackberries,blackberri.es,12,1
courtesies,courtesi.es,10,1
coves,cov.es,5,1
crannies,cranni.es,8,1
criticises,criticis.es,10,1
criticizes,criticiz.es,10,1
critiques,critiqu.es,9,1
crocodiles,crocodil.es,10,1
cubicles,cubicl.es,8,1
culminates,culminat.es,10,1
curses,curs.es,6,1
dares,dar.es,5,1
deformities,deformiti.es,11,1
blemishes,blemish.es,9,1
deities,deiti.es,7,1
demoiselles,demoisell.es,11,1
dentures,dentur.es,8,1
deportees,deporte.es,9,1
deprives,depriv.es,8,1
despatches,despatch.es,10,1
devotes,devot.es,7,1
blockages,blockag.es,9,1
blondes,blond.es,7,1
differentiates,differentiat.es,14,1
dignitaries,dignitari.es,11,1
diminishes,diminish.es,10,1
disagrees,disagre.es,9,1
disappearances,disappearanc.es,14,1
blotches,blotch.es,8,1
blouses,blous.es,7,1
discontinuities,discontinuiti.es,15,1
discourages,discourag.es,11,1
disincentives,disincentiv.es,13,1
dissolves,dissolv.es,9,1
distilleries,distilleri.es,12,1
divorces,divorc.es,8,1
dominoes,domino.es,8,1
doves,dov.es,5,1
blushes,blush.es,7,1
droves,drov.es,6,1
dummies,dummi.es,7,1
dwarves,dwarv.es,7,1
bobbies,bobbi.es,7,1
eases,eas.es,5,1
eccentricities,eccentriciti.es,14,1
eddies,eddi.es,6,1
efficiencies,efficienci.es,12,1
eliminates,eliminat.es,10,1
bogies,bogi.es,6,1
emanates,emanat.es,8,1
emirates,emirat.es,8,1
encapsulates,encapsulat.es,12,1
encodes,encod.es,7,1
endorses,endors.es,8,1
engages,engag.es,7,1
ensembles,ensembl.es,9,1
entitles,entitl.es,8,1
equates,equat.es,7,1
essences,essenc.es,8,1
bonfires,bonfir.es,8,1
excites,excit.es,7,1
exigencies,exigenci.es,10,1
explodes,explod.es,8,1
bookcases,bookcas.es,9,1
extremities,extremiti.es,11,1
fables,fabl.es,6,1
fades,fad.es,5,1
fakes,fak.es,5,1
farmhouses,farmhous.es,10,1
fatalities,fataliti.es,10,1
fatigues,fatigu.es,8,1
faxes,fax.es,5,1
figurines,figurin.es,9,1
fixes,fix.es,5,1
boreholes,borehol.es,9,1
bores,bor.es,5,1
flagstones,flagston.es,10,1
floodgates,floodgat.es,10,1
flourishes,flourish.es,10,1
foes,fo.es,4,1
forgeries,forgeri.es,9,1
forges,forg.es,6,1
franchisees,franchise.es,11,1
frees,fre.es,5,1
freezes,freez.es,7,1
fridges,fridg.es,7,1
fugitives,fugitiv.es,9,1
gauges,gaug.es,6,1
generalities,generaliti.es,12,1
gentiles,gentil.es,8,1
bounces,bounc.es,7,1
globes,glob.es,6,1
globules,globul.es,8,1
gnomes,gnom.es,6,1
goddesses,goddess.es,9,1
goodbyes,goodby.es,8,1
granites,granit.es,8,1
gravestones,graveston.es,11,1
boutiques,boutiqu.es,9,1
greenhouses,greenhous.es,11,1
guises,guis.es,6,1
gullies,gulli.es,7,1
hades,had.es,5,1
hairstyles,hairstyl.es,10,1
hares,har.es,5,1
hepatocytes,hepatocyt.es,11,1
heroines,heroin.es,8,1
hesitates,hesitat.es,9,1
hives,hiv.es,5,1
horoscopes,horoscop.es,10,1
brambles,brambl.es,8,1
hypocrites,hypocrit.es,10,1
brasses,brass.es,7,1
immunities,immuniti.es,10,1
impedances,impedanc.es,10,1
impresses,impress.es,9,1
indemnities,indemniti.es,11,1
initiates,initiat.es,9,1
injustices,injustic.es,10,1
breathes,breath.es,8,1
insurances,insuranc.es,10,1
intakes,intak.es,7,1
intensities,intensiti.es,11,1
interferes,interfer.es,10,1
breezes,breez.es,7,1
intricacies,intricaci.es,11,1
intrigues,intrigu.es,9,1
ironies,ironi.es,7,1
jealousies,jealousi.es,10,1
jellies,jelli.es,7,1
jungles,jungl.es,7,1
brigades,brigad.es,8,1
kiddies,kiddi.es,7,1
laces,lac.es,5,1
lances,lanc.es,6,1
lapses,laps.es,6,1
lathes,lath.es,6,1
laxatives,laxativ.es,9,1
ledges,ledg.es,6,1
leeches,leech.es,7,1
legionnaires,legionnair.es,12,1
bristles,bristl.es,8,1
licensees,license.es,9,1
lifetimes,lifetim.es,9,1
lineages,lineag.es,8,1
lobes,lob.es,5,1
locates,locat.es,7,1
brogues,brogu.es,7,1
lounges,loung.es,7,1
luminaries,luminari.es,10,1
lysosomes,lysosom.es,9,1
macrophages,macrophag.es,11,1
magnitudes,magnitud.es,10,1
magpies,magpi.es,7,1
mandates,mandat.es,8,1
marries,marri.es,7,1
brooches,brooch.es,8,1
maturities,maturiti.es,10,1
mealtimes,mealtim.es,9,1
mementoes,memento.es,9,1
metabolites,metabolit.es,11,1
meteorites,meteorit.es,10,1
microscopes,microscop.es,11,1
microwaves,microwav.es,10,1
milestones,mileston.es,10,1
minimises,minimis.es,9,1
miscarriages,miscarriag.es,12,1
miseries,miseri.es,8,1
modifies,modifi.es,8,1
monologues,monologu.es,10,1
mosques,mosqu.es,7,1
motivates,motivat.es,9,1
motorcycles,motorcycl.es,11,1
moustaches,moustach.es,10,1
buckles,buckl.es,7,1
muses,mus.es,5,1
mythologies,mythologi.es,11,1
buddies,buddi.es,7,1
nannies,nanni.es,7,1
navvies,navvi.es,7,1
necessitates,necessitat.es,12,1
necklaces,necklac.es,9,1
negotiates,negotiat.es,10,1
nematodes,nematod.es,9,1
neurones,neuron.es,8,1
nines,nin.es,5,1
nodules,nodul.es,7,1
nominees,nomine.es,8,1
noodles,noodl.es,7,1
novelties,novelti.es,9,1
bullies,bulli.es,7,1
nozzles,nozzl.es,7,1
nucleotides,nucleotid.es,11,1
nudes,nud.es,5,1
obscenities,obsceniti.es,11,1
obscures,obscur.es,8,1
oddities,odditi.es,8,1
oldies,oldi.es,6,1
oocytes,oocyt.es,7,1
ores,or.es,4,1
organizes,organiz.es,9,1
orgies,orgi.es,6,1
outhouses,outhous.es,9,1
outrages,outrag.es,8,1
ovaries,ovari.es,7,1
overrides,overrid.es,9,1
oversees,overse.es,8,1
overtures,overtur.es,9,1
paddles,paddl.es,7,1
pansies,pansi.es,7,1
parables,parabl.es,8,1
partridges,partridg.es,10,1
pastimes,pastim.es,8,1
peculiarities,peculiariti.es,13,1
perceives,perceiv.es,9,1
permeates,permeat.es,9,1
persuades,persuad.es,9,1
bursaries,bursari.es,9,1
philistines,philistin.es,11,1
phosphates,phosphat.es,10,1
pilgrimages,pilgrimag.es,11,1
pinnacles,pinnacl.es,9,1
pleasantries,pleasantri.es,12,1
plumes,plum.es,6,1
plunges,plung.es,7,1
positives,positiv.es,9,1
postgraduates,postgraduat.es,13,1
postulates,postulat.es,10,1
potholes,pothol.es,8,1
potteries,potteri.es,9,1
buttresses,buttress.es,10,1
practicalities,practicaliti.es,14,1
predicates,predicat.es,10,1
predominates,predominat.es,12,1
prelates,prelat.es,8,1
premisses,premiss.es,9,1
prescribes,prescrib.es,10,1
preservatives,preservativ.es,13,1
presides,presid.es,8,1
primroses,primros.es,9,1
cabbages,cabbag.es,8,1
principalities,principaliti.es,14,1
caches,cach.es,6,1
prophecies,propheci.es,10,1
prunes,prun.es,6,1
purges,purg.es,6,1
caddies,caddi.es,7,1
rabies,rabi.es,6,1
cadres,cadr.es,6,1
rapes,rap.es,5,1
rashes,rash.es,6,1
readies,readi.es,7,1
realizes,realiz.es,8,1
recesses,recess.es,8,1
recurrences,recurrenc.es,11,1
refineries,refineri.es,10,1
refuges,refug.es,7,1
relaxes,relax.es,7,1
relieves,reliev.es,8,1
remittances,remittanc.es,11,1
calculates,calculat.es,10,1
rescues,rescu.es,7,1
restores,restor.es,8,1
resumes,resum.es,7,1
reverses,revers.es,8,1
rogues,rogu.es,6,1
rubies,rubi.es,6,1
sanctuaries,sanctuari.es,11,1
sandstones,sandston.es,10,1
savages,savag.es,7,1
sclerites,sclerit.es,9,1
scrapes,scrap.es,7,1
scratches,scratch.es,9,1
scruples,scrupl.es,8,1
secures,secur.es,7,1
seizes,seiz.es,6,1
sensibilities,sensibiliti.es,13,1
sentries,sentri.es,8,1
shales,shal.es,6,1
shrines,shrin.es,7,1
canaries,canari.es,8,1
sieges,sieg.es,6,1
simplifies,simplifi.es,10,1
singularities,singulariti.es,13,1
canes,can.es,5,1
smokes,smok.es,6,1
snares,snar.es,6,1
snatches,snatch.es,8,1
solves,solv.es,6,1
sorties,sorti.es,7,1
canoes,cano.es,6,1
specialties,specialti.es,11,1
canopies,canopi.es,8,1
splashes,splash.es,8,1
sponges,spong.es,7,1
squeezes,squeez.es,8,1
squires,squir.es,7,1
steppes,stepp.es,7,1
stipulates,stipulat.es,10,1
stoppages,stoppag.es,9,1
capillaries,capillari.es,11,1
strives,striv.es,7,1
subtitles,subtitl.es,9,1
subtleties,subtleti.es,10,1
suffices,suffic.es,8,1
suffixes,suffix.es,8,1
summarizes,summariz.es,10,1
superstores,superstor.es,11,1
surgeries,surgeri.es,9,1
captives,captiv.es,8,1
surnames,surnam.es,8,1
swathes,swath.es,7,1
symbolises,symbolis.es,10,1
symbolizes,symboliz.es,10,1
synapses,synaps.es,8,1
syringes,syring.es,8,1
tadpoles,tadpol.es,8,1
telescopes,telescop.es,10,1
carbonates,carbonat.es,10,1
terminates,terminat.es,10,1
termites,termit.es,8,1
testicles,testicl.es,9,1
testifies,testifi.es,9,1
carcasses,carcass.es,9,1
thrives,thriv.es,7,1
thrones,thron.es,7,1
thrushes,thrush.es,8,1
timescales,timescal.es,10,1
toiletries,toiletri.es,10,1
tombstones,tombston.es,10,1
caresses,caress.es,8,1
trajectories,trajectori.es,12,1
transparencies,transparenci.es,14,1
caricatures,caricatur.es,11,1
tributaries,tributari.es,11,1
twelves,twelv.es,7,1
typifies,typifi.es,8,1
unawares,unawar.es,8,1
undergoes,undergo.es,9,1
undermines,undermin.es,10,1
undersides,undersid.es,10,1
undertones,underton.es,10,1
unites,unit.es,6,1
upgrades,upgrad.es,8,1
usages,usag.es,6,1
vampires,vampir.es,8,1
vanishes,vanish.es,8,1
velocities,velociti.es,10,1
verges,verg.es,6,1
vices,vic.es,5,1
vicissitudes,vicissitud.es,12,1
vigilantes,vigilant.es,10,1
voles,vol.es,5,1
voltages,voltag.es,8,1
cascades,cascad.es,8,1
waitresses,waitress.es,10,1
weeklies,weekli.es,8,1
wellies,welli.es,7,1
wholes,whol.es,6,1
wiles,wil.es,5,1
winches,winch.es,7,1
casseroles,casserol.es,10,1
workforces,workforc.es,10,1
workmates,workmat.es,9,1
castes,cast.es,6,1
catastrophes,catastroph.es,12,1
cavities,caviti.es,8,1
characterizes,characteriz.es,13,1
chases,chas.es,6,1
chimes,chim.es,6,1
chives,chiv.es,6,1
choruses,chorus.es,8,1
chronicles,chronicl.es,10,1
circulates,circulat.es,10,1
circuses,circus.es,8,1
clarifies,clarifi.es,9,1
classmates,classmat.es,10,1
clearances,clearanc.es,10,1
clearinghouses,clearinghous.es,14,1
cliches,clich.es,7,1
climes,clim.es,6,1
clutches,clutch.es,8,1
cockroaches,cockroach.es,11,1
coffees,coffe.es,7,1
coincidences,coincidenc.es,12,1
coles,col.es,5,1
collages,collag.es,8,1
collectivities,collectiviti.es,14,1
collieries,collieri.es,10,1
comedies,comedi.es,8,1
commemorates,commemorat.es,12,1
commences,commenc.es,9,1
communes,commun.es,8,1
communicates,communicat.es,12,1
compensates,compensat.es,11,1
competences,competenc.es,11,1
competencies,competenci.es,12,1
competes,compet.es,8,1
complicates,complicat.es,11,1
complies,compli.es,8,1
composites,composit.es,10,1
conceives,conceiv.es,9,1
condolences,condolenc.es,11,1
